video t (ms),A002C001_140325E3,20140325_121238,Take5_Nexus5,20140325_121245,20140325_131253,IMG_0367,VID_20140325_131247,VID_20140325_131249
649.073949,1,1,1,1,1,1,1,1
649.573887,1,1,1,1,1,1,1,1
650.074341,1,1,1,1,1,1,1,1
650.573448,1,1,1,1,1,1,1,1
651.0739,1,1,1,1,1,1,1,1
651.574409,1,1,1,1,1,1,1,1
652.074779,1,1,1,1,1,1,1,1
652.574193,1,1,1,1,1,1,1,1
653.07378,1,1,1,1,1,1,1,1
653.574665,1,1,1,1,1,1,1,1
654.001833,1,1,1,1,1,1,1,1
654.346816,1,1,1,1,1,1,1,1
654.725933,1,1,1,1,1,1,1,1
655.226482,1,1,1,1,1,1,1,1
655.726915,1,1,1,1,1,1,1,1
656.226658,1,1,1,1,1,1,1,1
656.725946,1,1,1,1,1,1,1,1
657.225513,1,1,1,1,1,1,1,1
657.726228,1,1,1,1,1,1,1,1
658.226636,1,1,1,1,1,1,1,1
658.726069,1,1,1,1,1,1,1,1
659.226518,1,1,1,1,1,1,1,1
659.72584,1,1,1,1,1,1,1,1
660.22587,1,1,1,1,1,1,1,1
660.72729,1,1,1,1,1,1,1,1
661.226243,1,1,1,1,1,1,1,1
661.726272,1,1,1,1,1,1,1,1
662.226718,1,1,1,1,1,1,1,1
662.728283,1,1,1,1,1,1,1,1
663.226741,1,1,1,1,1,1,1,1
663.725743,1,1,1,1,1,1,1,1
664.226713,1,1,1,1,1,1,1,1
664.726336,1,1,1,1,1,1,1,1
665.227338,1,1,1,1,1,1,1,1
665.727045,1,1,1,1,1,1,1,1
666.227585,1,1,1,1,1,1,1,1
666.726056,1,1,1,1,1,1,1,1
667.227226,1,1,1,1,1,1,1,1
667.726046,1,1,1,1,1,1,1,1
668.226194,1,1,1,1,1,1,1,1
668.727185,1,1,1,1,1,1,1,1
669.226206,1,1,1,1,1,1,1,1
669.727115,1,1,1,1,1,1,1,1
670.22612,1,1,1,1,1,1,1,1
670.725593,1,1,1,1,1,1,1,1
671.225941,1,1,1,1,1,1,1,1
671.728097,1,1,1,1,1,1,1,1
672.226465,1,1,1,1,1,1,1,1
672.727236,1,1,1,1,1,1,1,1
673.226087,1,1,1,1,1,1,1,1
673.726425,1,1,1,1,1,1,1,1
674.226302,1,1,1,1,1,1,1,1
674.726184,1,1,1,1,1,1,1,1
675.227479,1,1,1,1,1,1,1,1
675.726364,1,1,1,1,1,1,1,1
676.226461,1,1,1,1,1,1,1,1
676.726934,1,1,1,1,1,1,1,1
677.226915,1,1,1,1,1,1,1,1
677.726304,1,1,1,1,1,1,1,1
678.227021,1,1,1,1,1,1,1,1
678.726846,1,1,1,1,1,1,1,1
679.227207,1,1,1,1,1,1,1,1
679.726532,1,1,1,1,1,1,1,1
